Area_km2_2013_01_01,bounds_ne_lat_google_2015_05_28,bounds_ne_lng_google_2015_05_28,bounds_sw_lat_google_2015_05_28,bounds_sw_lng_google_2015_05_28,Folkmängd_2015_03_31,Hav_km2_2013_01_01,Kommunkod_2011_2012,Land_km2_2013_01_01,location_lat_google_2015_05_28,location_lng_google_2015_05_28,Län_2011_2012,Namn_2011_2012,Sjö_km2_2013_01_01,Täthet_inv_km2_2013_01_01
92.47,56.1481789,12.9761791,56.121007,12.8903391,15094,0,1277,92.22,56.134262,12.945908,Skåne län,Åstorps kommun,0.25,163.67
780.27,58.2139331,16.0214571,58.1830461,15.967212,11467,0,561,686.62,58.2021898,15.9972698,Östergötlands län,Åtvidabergs kommun,93.65,16.7
978.22,56.5571197,14.1550304,56.5448193,14.1230156,16049,0,765,890.78,56.55097,14.139023,Kronobergs län,Älmhults kommun,87.44,18.02
7142.83,62.2665581,14.354617,61.102689,12.1380692,7039,0,2039,6871.51,61.9321196,12.990459,Dalarnas län,Älvdalens kommun,271.32,1.02
614.13,60.585658,17.4660351,60.557145,17.4298978,9217,379.32,319,214.98,60.5686067,17.4489129,Uppsala län,Älvkarleby kommun,19.83,42.87
1795.24,65.690748,21.0586047,65.65638,20.9665278,8172,0,2560,1698.04,65.6771363,20.9928659,Norrbottens län,Älvsbyns kommun,97.2,4.81
478.06,56.284446,12.907386,56.220303,12.826298,40336,46.77,1292,420.06,56.245748,12.863881,Skåne län,Ängelholms kommun,11.23,96.02
511.4,57.8039719,11.713709,57.6534621,11.5190691,12602,485.54,1407,25.74,57.711741,11.6487886,Västra Götalands län,Öckerö kommun,0.12,489.59
668.99,58.238214,14.6778449,58.220175,14.6340051,5225,0,509,430.42,58.2291051,14.6530212,Östergötlands län,Ödeshögs kommun,19.84,12.14
1620.6,59.32867,15.2804088,59.227477,15.1245001,143098,0,1880,1373.15,59.2752626,15.2134105,Örebro län,Örebro kommun,50.59,104.21
329.7,56.301961,13.311899,56.266761,13.2474369,9755,0,1257,319.55,56.283635,13.278832,Skåne län,Örkelljunga kommun,10.15,30.53
8428.78,63.326957,18.7993949,63.239483,18.5708369,55285,1689.9,2284,6376.46,63.2900474,18.7166166,Västernorrlands län,Örnsköldsviks kommun,362.42,8.67
2501.08,63.2289599,14.773303,63.132397,14.5108614,60674,0,2380,2208.31,63.1766832,14.6360681,Jämtlands län,Östersunds kommun,292.77,27.48
554.46,59.600716,18.968054,59.3849541,18.1447791,41317,231.38,117,312.4,59.5000584,18.3524853,Stockholms län,Österåkers kommun,10.68,132.26
3486.4,60.26175708,18.37242068,60.25905912,18.36972272,21418,1983.58,382,1475.28,60.2604081,18.3710717,Uppsala län,Östhammars kommun,27.54,14.52
451.15,56.452628,14.378548,56.116664,13.9645249,13845,0,1256,431.96,56.2378773,14.2161662,Skåne län,Östra Göinge kommun,19.19,32.05
2919.47,69.063072,24.1624078,65.060635,15.3723748,3417,0,2513,2764.53,66.8309216,20.3991966,Norrbottens län,Överkalix kommun,154.94,1.24
